,ResponseId,Dignity_1,Dignity_2,Dignity_3,Dignity_4,Dignity_5,Dignity_6,Face_1,Face_2,Face_3,Face_4,Face_5,Honour_1,Honour_2,Honour_3,Honour_4,SINS_1,SINS_2,SINS_3,SINS_4,SINS_5,SINS_6,SINS_7,SINS_8,SINS_9,SINS_10,SINS_11,SINS_12,SINS_13,SINS_14,SINS_15,SINS_16,SINS_17,SINS_18,SINS_19,SINS_20,SINS_21,SINS_22,SINS_23,SINS_24,SINS_25,SINS_26,SINS_27,SINS_28,SINS_29,SINS_30,SINS_31,SINS_32,Age,Gender,MBorn,FBorn,Born,D6_1,D6_2,D6_3,D7,D7_9_TEXT,D8_1,D8_2,D8_3,D9,D10_1,D10_2,D10_3,Father,Mother,Me,Bio_birth
0,R_1Qa1Sep4YyfVsk7,7.0,6,6,6,2,5,5,2,5,3,5,3,6,4,4,1.0,1,1,4,1,5,2,1,1,1,1,1,1,1,1,1,3,5,1,3,5,2,2,2,1,1,3,1,3,2,1,4,22,2.0,australia,italy,australia,5,4,4,10,,,,,Italian,4,4,3,1.0,1.0,1.0,1.0
1,R_3pi54AAbuhkIfxs,6.0,5,5,6,6,3,7,7,7,5,6,6,7,6,6,2.0,2,1,3,2,6,5,1,1,2,4,1,3,4,2,2,5,2,2,4,2,3,3,1,3,4,4,2,4,2,1,6,22,2.0,victoria,qld,australia ,5,4,4,10,,,,,Dutch/Australian,4,4,3,1.0,1.0,1.0,1.0
2,R_1mEDzu6CZGZui3j,6.0,4,7,6,7,7,5,7,6,6,7,5,7,5,2,5.0,3,1,3,3,4,6,6,3,5,4,4,4,4,4,6,5,5,4,6,4,4,5,5,4,6,6,5,5,5,4,5,21,2.0,england,australia,australia,5,5,5,10,,,,,Australian ,5,5,5,1.0,1.0,1.0,1.0
3,R_2s0DOtaLQmRUnQZ,7.0,6,6,7,7,7,6,5,5,2,6,6,6,6,6,1.0,3,1,2,1,5,3,2,2,5,5,5,1,5,2,2,5,2,3,6,5,3,1,3,3,5,5,3,3,3,3,5,20,1.0,australia,australia,australia,4,2,2,9,Singapore,4,4,2,Australian ,4,2,1,1.0,1.0,1.0,1.0
4,R_1gGFTvIB7JfQYe4,6.0,6,7,7,7,5,5,4,6,3,5,6,5,5,6,1.0,1,1,1,1,2,1,4,1,1,1,1,1,2,1,2,6,3,2,3,5,3,2,1,2,2,2,2,4,1,1,3,34,2.0,china,china,australia ,4,5,5,9,United Kingdom ,3,2,5,Chinese,4,5,5,2.0,2.0,1.0,2.0
5,R_2znGLNFVs1F92gz,5.0,6,6,7,7,6,4,5,3,4,4,5,6,5,4,3.0,3,2,5,3,6,5,3,5,5,4,3,3,6,4,3,6,5,5,6,4,5,4,4,5,6,6,4,6,5,4,6,22,2.0,australia,australia ,australia ,5,5,4,10,,,,,Australian,5,5,4,1.0,1.0,1.0,1.0
6,R_1dh4yM2Lpkd4rRC,5.0,5,5,5,5,5,5,5,6,6,6,6,5,6,7,1.0,2,1,3,2,2,3,2,2,2,3,2,2,3,2,2,3,5,3,2,2,3,2,2,2,3,2,3,2,2,2,3,21,2.0,nsw,nsw,australia 🇦🇺,4,4,4,10,,,,,Aussie ,4,4,4,1.0,1.0,1.0,1.0
7,R_2c0jsYZPXvs61vs,6.0,5,6,5,5,4,6,5,5,4,5,5,4,5,5,2.0,1,1,3,1,3,4,1,1,3,3,2,2,2,2,1,4,3,1,4,2,4,1,2,2,2,3,2,4,3,3,3,21,2.0,australia,australia ,australia ,4,3,4,10,,,,,Irish ,2,1,1,1.0,1.0,1.0,1.0
8,R_1I5TwSJLQOP3B29,6.0,6,6,6,5,5,5,3,5,3,5,5,6,5,5,2.0,2,1,5,3,6,5,2,2,3,2,2,2,5,3,3,5,5,3,5,5,3,5,3,3,5,5,3,5,5,3,5,22,2.0,australia,australia,australia,4,5,4,10,,,,,Too broad to specify one - European ,1,1,1,1.0,1.0,1.0,1.0
9,R_23TvkEceS0LYXxw,5.0,6,5,5,5,3,6,5,6,3,4,3,5,3,3,2.0,1,1,4,1,6,5,2,1,2,3,2,1,3,1,1,4,5,3,4,4,4,3,4,3,3,5,3,3,3,4,5,21,2.0,australia ,australia ,australia ,3,2,2,10,,,,,Italian and Maltese ,4,4,4,1.0,1.0,1.0,1.0
10,R_3pfHAmRbHNDlOJc,5.0,5,5,5,3,3,3,5,3,2,6,5,6,5,3,5.0,2,4,4,4,5,5,4,4,5,4,4,3,5,4,2,5,5,5,5,3,5,4,3,3,5,5,3,5,4,5,3,22,2.0,china,china,china,4,4,4,9,Australia,3,3,4,None,,,,2.0,2.0,2.0,999.0
11,R_3QRdjJ0PNkMnCD8,5.0,5,6,4,6,4,3,6,4,4,6,5,6,5,5,2.0,3,3,5,2,4,5,4,3,3,5,5,1,4,4,3,6,5,5,5,5,5,3,3,3,3,5,4,5,4,5,4,20,2.0,china,china,china,4,4,4,9,Melbourne,4,3,5,Asian,4,4,4,2.0,2.0,2.0,999.0
12,R_1mjRLWwT8FK0SGk,3.0,2,7,3,7,2,6,7,6,7,6,7,4,2,3,7.0,5,2,6,3,7,3,3,4,5,3,6,2,6,3,2,6,6,6,6,6,6,2,4,6,6,6,2,6,6,2,6,20,2.0,cn,cn,cn,4,2,2,9,Au,4,4,4,,,,,2.0,2.0,2.0,999.0
13,R_3hmchTvtsSCGekS,6.0,6,6,6,7,6,5,6,7,2,6,6,6,6,6,1.0,2,6,1,1,6,3,1,2,2,1,3,2,5,4,3,5,3,5,5,6,4,2,3,1,4,7,3,6,4,3,7,,2.0,hong kong,hong kong,australia ,5,5,5,10,,,,,,4,5,4,2.0,2.0,1.0,2.0
14,R_1ez7LM5QVzdOsCF,7.0,6,7,7,7,7,5,6,6,7,5,6,6,5,7,2.0,1,3,4,1,7,4,5,4,2,2,1,2,7,1,1,5,4,4,5,5,3,4,4,6,4,5,5,6,4,6,7,21,1.0,australia,australia,australia ,5,5,4,10,,,,,European,4,4,4,1.0,1.0,1.0,1.0
15,R_1oG7nS9YUkW5Rjj,4.0,4,5,5,6,4,5,5,5,5,5,6,6,6,6,2.0,3,2,4,4,5,4,2,3,5,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,3,5,25,2.0,indonesia,indonesia,indonesia,2,3,3,9,Australia,2,3,3,Chinese,2,3,3,2.0,2.0,2.0,999.0
16,R_3FX06ZfUvx3UBBO,6.0,6,4,4,6,5,4,4,5,5,5,4,5,5,5,5.0,6,5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,4,5,21,1.0,china,china,china,4,3,4,10,,,,,China ,5,3,3,2.0,2.0,2.0,999.0
17,R_2zUCvLn6OObBWqi,5.0,4,4,4,6,3,5,5,6,3,6,6,6,5,6,2.0,2,2,6,4,5,5,2,1,2,2,1,2,4,2,3,7,4,2,5,5,5,5,4,5,5,5,4,6,5,5,6,19,2.0,china,china,australia,4,3,4,10,,,,,Chinese,4,4,4,2.0,2.0,1.0,2.0
18,R_C8M7m3J7etFaLFD,5.0,3,5,5,6,3,7,6,6,4,6,6,6,3,6,3.0,1,2,1,5,4,5,2,1,1,3,2,3,5,1,5,5,6,5,5,6,5,6,2,5,5,5,4,5,5,4,6,21,1.0,china,china,china,4,4,4,9,Australia,4,4,4,Chinese,4,4,4,2.0,2.0,2.0,999.0
19,R_277t9ll9gjE7bx0,6.0,5,6,6,6,6,6,6,6,5,6,1,7,7,1,2.0,3,2,4,2,4,2,3,3,2,3,3,2,3,3,3,3,2,2,3,3,3,3,2,2,2,2,3,2,3,2,4,20,1.0,china ,china ,china ,5,5,5,9,"Yes, Australia",4,4,4,Chinese ,5,5,5,2.0,2.0,2.0,999.0
20,R_1IYNAr82tXuQAyO,7.0,3,6,5,7,3,2,3,3,1,5,6,5,2,2,1.0,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,3,1,1,2,3,1,3,1,2,1,1,1,2,2,1,6,26,1.0,australia,united states of america,australia,4,2,4,9,"USA, SPAIN, CHINA.",4,2,4,caucasian european ,4,2,4,1.0,1.0,1.0,1.0
21,R_1Q3HWWcQEB6iD5J,6.0,5,5,5,5,5,5,4,3,5,5,4,4,4,5,4.0,4,2,3,4,6,4,3,3,2,3,3,5,5,2,4,4,4,3,4,3,4,3,3,4,4,4,3,5,4,5,5,32,2.0,greece,iceland ,estonia ,3,3,3,9,Yes ,3,4,,Estonian,4,4,4,1.0,1.0,1.0,1.0
22,R_pg7RVg17TMXjpYJ,7.0,6,7,6,6,5,3,5,2,2,4,6,6,6,5,1.0,1,1,2,4,6,6,1,2,3,1,2,2,3,2,2,5,3,1,5,6,4,2,2,2,3,5,2,6,2,4,3,24,2.0,france,france,french,5,5,5,9,Australia ,5,5,5,French,5,5,4,1.0,1.0,1.0,1.0
23,R_2vYxdtjexefUJKX,6.0,5,5,6,6,3,6,5,5,4,3,5,6,6,6,2.0,2,2,2,2,5,4,1,1,4,5,3,1,2,2,2,4,2,2,5,3,4,2,2,2,2,5,2,3,4,1,2,52,2.0,uk,uak,england,2,2,3,9,"Fiji, Hong Kong",4,3,3,Caucasian,4,4,4,1.0,1.0,1.0,1.0
