,ResponseId,Dignity_1,Dignity_2,Dignity_3,Dignity_4,Dignity_5,Dignity_6,Face_1,Face_2,Face_3,Face_4,Face_5,Honour_1,Honour_2,Honour_3,Honour_4,SINS_1,SINS_2,SINS_3,SINS_4,SINS_5,SINS_6,SINS_7,SINS_8,SINS_9,SINS_10,SINS_11,SINS_12,SINS_13,SINS_14,SINS_15,SINS_16,SINS_17,SINS_18,SINS_19,SINS_20,SINS_21,SINS_22,SINS_23,SINS_24,SINS_25,SINS_26,SINS_27,SINS_28,SINS_29,SINS_30,SINS_31,SINS_32,Age,Gender,D6_1,D6_2,D6_3,D7,D7_9_TEXT,D8_1,D8_2,D8_3,D9,D10_1,D10_2,D10_3,Dignity_score,Face_score,Honour_score,Bio_Score,Bio_Birth
0,R_1Qa1Sep4YyfVsk7,7.0,6.0,6.0,6.0,2.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,6.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,22.0,2.0,5,4,4,10,,,,,Italian,4,4,3,12.8,6.666666666666666,4.533333333333333,0.0,0.0
1,R_3pi54AAbuhkIfxs,6.0,5.0,5.0,6.0,6.0,3.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,2.0,2.0,1.0,3.0,2.0,6.0,5.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,1.0,6.0,22.0,2.0,5,4,4,10,,,,,Dutch/Australian,4,4,3,12.4,10.666666666666666,6.666666666666667,2.0,0.0
2,R_1mEDzu6CZGZui3j,6.0,4.0,7.0,6.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,5.0,7.0,5.0,2.0,5.0,3.0,1.0,3.0,3.0,4.0,6.0,6.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,6.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,21.0,2.0,5,5,5,10,,,,,Australian ,5,5,5,14.8,10.333333333333332,5.066666666666666,2.0,0.0
3,R_2s0DOtaLQmRUnQZ,7.0,6.0,6.0,7.0,7.0,7.0,6.0,5.0,5.0,2.0,6.0,6.0,6.0,6.0,6.0,1.0,3.0,1.0,2.0,1.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,1.0,5.0,2.0,2.0,5.0,2.0,3.0,6.0,5.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,20.0,1.0,4,2,2,9,Singapore,4,4,2,Australian ,4,2,1,16.0,8.0,6.4,2.0,0.0
4,R_1gGFTvIB7JfQYe4,6.0,6.0,7.0,7.0,7.0,5.0,5.0,4.0,6.0,3.0,5.0,6.0,5.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,3.0,2.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,34.0,2.0,4,5,5,9,United Kingdom ,3,2,5,Chinese,4,5,5,15.200000000000001,7.666666666666666,5.866666666666666,0.0,2.0
5,R_2znGLNFVs1F92gz,5.0,6.0,6.0,7.0,7.0,6.0,4.0,5.0,3.0,4.0,4.0,5.0,6.0,5.0,4.0,3.0,3.0,2.0,5.0,3.0,6.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,6.0,4.0,3.0,6.0,5.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,6.0,4.0,6.0,5.0,4.0,6.0,22.0,2.0,5,5,4,10,,,,,Australian,5,5,4,14.8,6.666666666666666,5.333333333333333,0.0,0.0
6,R_1dh4yM2Lpkd4rRC,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,21.0,2.0,4,4,4,10,,,,,Aussie ,4,4,4,12.0,9.333333333333332,6.4,2.0,0.0
7,R_2c0jsYZPXvs61vs,6.0,5.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,21.0,2.0,4,3,4,10,,,,,Irish ,2,1,1,12.4,8.333333333333332,5.066666666666666,2.0,0.0
8,R_1I5TwSJLQOP3B29,6.0,6.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,2.0,2.0,1.0,5.0,3.0,6.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,22.0,2.0,4,5,4,10,,,,,Too broad to specify one - European ,1,1,1,13.600000000000001,7.0,5.6,0.0,0.0
9,R_23TvkEceS0LYXxw,5.0,6.0,5.0,5.0,5.0,3.0,6.0,5.0,6.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,6.0,5.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,21.0,2.0,3,2,2,10,,,,,Italian and Maltese ,4,4,4,11.600000000000001,8.0,3.7333333333333334,2.0,0.0
10,R_3pfHAmRbHNDlOJc,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,6.0,5.0,6.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,22.0,2.0,4,4,4,9,Australia,3,3,4,None,,,,10.4,6.333333333333333,5.066666666666666,0.0,1.0
11,R_3QRdjJ0PNkMnCD8,5.0,5.0,6.0,4.0,6.0,4.0,3.0,6.0,4.0,4.0,6.0,5.0,6.0,5.0,5.0,2.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,20.0,2.0,4,4,4,9,Melbourne,4,3,5,Asian,4,4,4,12.0,7.666666666666666,5.6,0.0,1.0
